date,stream,variable,value,code
2017-01-14,QPA,canopy_cover,0.336436902,A
2017-03-15,QPA,canopy_cover,-0.349667996,A
2017-05-17,QPA,canopy_cover,0.08348054,A
2017-07-08,QPA,canopy_cover,0.194286951,A
2017-09-04,QPA,canopy_cover,-0.521518253,A
2017-09-10,QPA,canopy_cover,0.599072942,A
2017-10-04,QPA,canopy_cover,2.035709058,A
2017-11-08,QPA,canopy_cover,1.727578155,A
2017-12-11,QPA,canopy_cover,1.716528319,A
2018-01-25,QPA,canopy_cover,1.669203747,A
2018-02-15,QPA,canopy_cover,1.581599124,A
2018-03-13,QPA,canopy_cover,1.645628869,A
2018-04-13,QPA,canopy_cover,1.436226353,A
2018-05-09,QPA,canopy_cover,1.434460089,A
2018-06-13,QPA,canopy_cover,1.479398525,A
2018-07-12,QPA,canopy_cover,1.391721113,A
2018-08-18,QPA,canopy_cover,1.434460089,A
2018-09-25,QPA,canopy_cover,1.323650326,A
2018-10-24,QPA,canopy_cover,1.294256092,A
2018-11-28,QPA,canopy_cover,1.206443161,A
2018-12-31,QPA,canopy_cover,1.17562524,A
2019-01-29,QPA,canopy_cover,1.110170268,A
2019-02-25,QPA,canopy_cover,1.026044255,A
2019-03-27,QPA,canopy_cover,0.991775799,A
2019-04-25,QPA,canopy_cover,1.070264724,A
2019-06-19,QPA,canopy_cover,1.026930388,A
2019-07-31,QPA,canopy_cover,1.036626365,A
2019-08-27,QPA,canopy_cover,0.966693202,A
2019-09-30,QPA,canopy_cover,0.895547766,A
2019-10-29,QPA,canopy_cover,0.759415592,A
2019-11-26,QPA,canopy_cover,0.631161257,A
2019-12-27,QPA,canopy_cover,0.6258842,A
2020-01-31,QPA,canopy_cover,0.577094035,A
2020-02-28,QPA,canopy_cover,0.681203769,A
2020-03-24,QPA,canopy_cover,0.163260678,A
2020-04-27,QPA,canopy_cover,0.224379493,A
2020-05-27,QPA,canopy_cover,0.556040626,A
2020-06-30,QPA,canopy_cover,0.491596663,A
2020-07-28,QPA,canopy_cover,0.305941265,A
2020-08-25,QPA,canopy_cover,0.419465091,A
2020-09-28,QPA,canopy_cover,0.52140513,A
2017-01-10,QPA,Leaf_litter,-0.811717254,B
2017-01-24,QPA,Leaf_litter,-0.243161951,B
2017-02-10,QPA,Leaf_litter,0.085858259,B
